"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.833984480E-1,1.615155339E-1,1.082752272E-1,9.504590988E0,9.506579861E0
3.857888650E-1,2.721835673E-2,1.734796353E-2,9.595816612E0,9.595870896E0
3.881783960E-1,-7.088737190E-2,-5.922235921E-2,9.684351921E0,9.684792431E0
3.905688650E-1,-1.666002721E-1,-1.046859920E-1,9.763314247E0,9.765296713E0
3.929600630E-1,-2.216351926E-1,-1.549352705E-1,9.794421196E0,9.798153584E0
3.953504270E-1,-2.718844712E-1,-1.884347796E-1,9.811170578E0,9.816745741E0
3.977400110E-1,-3.053839803E-1,-2.027917206E-1,9.854242325E0,9.861058546E0
4.001304790E-1,-2.838485837E-1,-2.099701911E-1,9.878170013E0,9.884477746E0
4.025216250E-1,-2.623131871E-1,-1.621137410E-1,9.890133858E0,9.894939959E0
4.049120420E-1,-1.977069676E-1,-1.142572835E-1,9.909276962E0,9.911907621E0
4.073015730E-1,-1.043868884E-1,-7.357929647E-2,9.949954987E0,9.950774581E0
4.096920420E-1,-1.495514181E-3,-1.615155302E-2,9.945169449E0,9.945182677E0
4.120832400E-1,1.184447184E-1,2.452643216E-2,9.969097137E0,9.969830913E0
4.144736040E-1,1.471585929E-1,-1.405783296E-1,1.016800117E1,1.017003765E1
4.168631880E-1,-1.689931005E-1,-8.084749579E-1,1.068275642E1,1.071463836E1
4.192536570E-1,-3.269194067E-1,-1.265803218E0,1.094596672E1,1.102376168E1
4.216448020E-1,-4.585246444E-1,-1.282552958E0,1.062263680E1,1.070960314E1
4.240352190E-1,-5.832505226E-1,-1.117448211E0,1.010578728E1,1.018409584E1
4.264247500E-1,-4.992026389E-1,-7.677969933E-1,9.408877373E0,9.453342738E0
4.288152190E-1,-1.043868884E-1,-3.272185028E-1,9.061918259E0,9.068424951E0
4.312063650E-1,2.476571500E-1,4.606183618E-2,8.807980537E0,8.811581975E0
4.335967820E-1,4.797609448E-1,3.191427290E-1,8.721838951E0,8.740852209E0
4.359863650E-1,5.419743061E-1,5.153541565E-1,8.846264839E0,8.877822236E0
4.383767820E-1,4.773681164E-1,5.560321808E-1,8.987740517E0,9.017567948E0
4.407679790E-1,3.936193287E-1,5.129613280E-1,9.207880974E0,9.230554562E0
4.431583960E-1,3.457628787E-1,4.076771438E-1,9.406484604E0,9.421661490E0
4.455479270E-1,3.337987661E-1,2.665006220E-1,9.641280174E0,9.650737153E0
4.479383960E-1,3.505485058E-1,1.872383654E-1,9.713065147E0,9.721192160E0
4.503295420E-1,3.816552162E-1,1.010967568E-1,9.748957634E0,9.756949124E0
4.527199590E-1,3.744767308E-1,7.956135273E-2,9.784850121E0,9.792336530E0
4.551095420E-1,3.266202807E-1,1.872383654E-1,9.811170578E0,9.818391270E0
4.574999590E-1,3.409772217E-1,2.377867550E-1,9.784850121E0,9.793676526E0
4.598911570E-1,4.103690982E-1,2.449652255E-1,9.732208252E0,9.743935972E0
4.622815730E-1,4.749752879E-1,2.473580390E-1,9.677172661E0,9.691979067E0
4.646711040E-1,4.773681164E-1,1.752742529E-1,9.705886841E0,9.719199594E0
4.670615730E-1,5.276173949E-1,1.680957973E-1,9.803992271E0,9.819618158E0
4.694527190E-1,5.754738450E-1,1.728814393E-1,9.959526062E0,9.977635868E0
4.718431360E-1,5.611169338E-1,1.369891018E-1,1.003370380E1,1.005031493E1
4.742327190E-1,6.284150481E-1,1.680957973E-1,9.942776680E0,9.964033811E0
4.766231360E-1,6.762714982E-1,2.207378894E-1,9.787242889E0,9.813062301E0
4.790143340E-1,7.145566344E-1,2.521436810E-1,9.607781410E0,9.637615434E0
4.814046980E-1,7.528418303E-1,3.478565812E-1,9.456734657E0,9.493029306E0
4.837942820E-1,7.624131441E-1,3.981058598E-1,9.265308380E0,9.305143817E0
4.861847500E-1,7.671987414E-1,5.177469850E-1,9.126524925E0,9.173337073E0
4.885758960E-1,8.174480200E-1,6.278168559E-1,8.997312546E0,9.056158585E0
4.909663130E-1,8.126623631E-1,7.402794957E-1,8.855836868E0,8.923804149E0
4.933558960E-1,8.365905881E-1,8.410771489E-1,8.745766640E0,8.825855692E0
4.957463130E-1,8.700901270E-1,9.320043921E-1,8.628518105E0,8.722213807E0
4.981375110E-1,9.251250625E-1,9.774680734E-1,8.532805443E0,8.638290858E0
5.005278750E-1,1.011266708E0,1.058824062E0,8.396115303E0,8.522823531E0
5.029174590E-1,1.114158034E0,1.082752228E0,8.290831566E0,8.435140103E0
5.053079270E-1,1.200598717E0,1.094716311E0,8.171190262E0,8.331157865E0
5.076990730E-1,1.298704505E0,1.106680512E0,8.094619751E0,8.272499263E0
5.100894900E-1,1.363310695E0,1.066002488E0,8.063512802E0,8.247133809E0
5.124790730E-1,1.485344648E0,1.044467092E0,8.085048676E0,8.286445095E0
5.148694900E-1,1.590628862E0,1.080359459E0,8.123333931E0,8.347803956E0
5.172606880E-1,1.727019787E0,1.130608678E0,8.123333931E0,8.381493153E0
5.196510520E-1,1.856531262E0,1.180858016E0,8.118548393E0,8.411418548E0
5.220406360E-1,1.954637051E0,1.274178028E0,8.092226982E0,8.421892494E0
5.244311040E-1,2.035992861E0,1.307677627E0,8.104190826E0,8.457729994E0
5.268222500E-1,2.148455620E0,1.372582912E0,8.073084831E0,8.466081980E0
5.292126670E-1,2.177169561E0,1.413260818E0,8.013263702E0,8.423168561E0
5.316022500E-1,2.323430777E0,1.396511078E0,8.324331284E0,8.754602509E0
5.339926670E-1,2.679961443E0,1.343569875E0,9.624530792E0,1.008062331E1
5.363838650E-1,2.727817774E0,1.336391449E0,9.918848038E0,1.037354705E1
5.387742290E-1,2.696711063E0,1.382154226E0,9.703494072E0,1.016564794E1
5.411638130E-1,2.766103029E0,1.542473316E0,9.617352486E0,1.012541450E1
5.435542820E-1,3.376571894E0,2.205584288E0,9.921240807E0,1.070966194E1
5.459454270E-1,3.575475216E0,2.169692039E0,9.902098656E0,1.074909970E1
5.483358440E-1,3.422035456E0,1.918445587E0,9.559925079E0,1.033358252E1
5.507253750E-1,3.154039383E0,1.681257010E0,9.131310463E0,9.805887024E0
5.531158440E-1,2.981756210E0,1.540080428E0,8.848658562E0,9.463692523E0
5.555070420E-1,2.754138947E0,1.396511078E0,8.628518105E0,9.164433927E0
5.578974070E-1,2.536391973E0,1.264606714E0,8.374580383E0,8.841160047E0
5.602869900E-1,2.388036966E0,1.154536963E0,8.041977882E0,8.468121658E0
5.626774590E-1,2.181955099E0,1.027717352E0,7.860123158E0,8.221840856E0
5.650686040E-1,2.074278116E0,9.415757060E-1,7.804789066E0,8.130432146E0
5.674590210E-1,1.940280080E0,8.889335990E-1,7.905586720E0,8.188601292E0
5.698485520E-1,1.866102576E0,8.195417523E-1,8.080263138E0,8.333345060E0
5.722390210E-1,1.825424552E0,8.123632669E-1,8.317152023E0,8.553778501E0
5.746301670E-1,-5.764010429E0,-5.879165173E0,3.768336868E1,3.857233043E1
5.770205840E-1,-2.060220242E0,-1.103091240E0,2.096531296E1,2.109515739E1
5.794101670E-1,9.729815125E-1,1.494616866E0,8.664410591E0,8.846049033E0
5.818005840E-1,1.044766188E0,1.547258973E0,8.444271088E0,8.648194084E0
5.841917820E-1,1.039980531E0,1.640578985E0,7.761718273E0,8.001083018E0
5.865821460E-1,1.044766188E0,1.745863199E0,7.378866673E0,7.654230730E0
5.889717290E-1,1.068694472E0,1.743470430E0,7.036394119E0,7.327526132E0
5.913621980E-1,1.140479088E0,1.700399637E0,7.017251492E0,7.309847466E0
5.937533440E-1,1.291526079E0,1.628614902E0,6.643671989E0,6.961235782E0
5.961437610E-1,1.473380566E0,1.492223978E0,6.698707104E0,7.019277709E0
5.985333440E-1,1.698305845E0,1.351047516E0,6.828218460E0,7.164784677E0
6.009237610E-1,1.911566138E0,1.195214868E0,7.275676250E0,7.616960587E0
6.033149590E-1,9.394819736E-1,-2.745763958E-1,1.462343693E1,1.465615660E1
6.057053230E-1,-1.959721804E0,-3.147758245E0,2.854487801E1,2.878469996E1
6.080949070E-1,1.593021631E0,1.152144074E0,8.211868286E0,8.443928862E0
6.104853750E-1,1.791925073E0,1.238285661E0,7.467401028E0,7.778587594E0
6.128765210E-1,1.856531262E0,1.204786181E0,7.484150887E0,7.804532822E0
