"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.810128708E0,6.968009949E-1,-1.435844147E1,1.154249725E0,1.442160412E1
1.820071708E0,6.999444580E-1,-1.458716583E1,1.142274628E0,1.464855353E1
1.830015708E0,7.384144592E-1,-1.477442642E1,1.122665405E0,1.483540730E1
1.839958708E0,7.545808411E-1,-1.493070145E1,1.110690308E0,1.499095964E1
1.849901708E0,7.593708801E-1,-1.512799118E1,1.113534393E0,1.518791362E1
1.859844708E0,7.658074951E-1,-1.527977554E1,1.136586456E0,1.534111569E1
1.869788708E0,7.800279236E-1,-1.540536438E1,1.143921204E0,1.546745781E1
1.879731708E0,7.767347717E-1,-1.548275345E1,1.165177002E0,1.554595152E1
1.889674708E0,7.911048889E-1,-1.552721100E1,1.173709259E0,1.559159138E1
1.899618708E0,7.923023987E-1,-1.547721497E1,1.215173035E0,1.554504975E1
1.909561708E0,7.866142273E-1,-1.539608368E1,1.246607666E0,1.546648587E1
1.919504708E0,7.828720093E-1,-1.531659897E1,1.278191986E0,1.538976502E1
1.929447708E0,7.671546936E-1,-1.520957153E1,1.305734711E0,1.528478118E1
1.939391708E0,7.309300232E-1,-1.507275604E1,1.306034088E0,1.514687950E1
1.949334708E0,6.903643799E-1,-1.493055176E1,1.299298096E0,1.500287154E1
1.959277708E0,6.632707214E-1,-1.473356140E1,1.275347900E0,1.480352228E1
1.969221708E0,6.423143005E-1,-1.445798447E1,1.267713776E0,1.452766260E1
1.979164708E0,6.201603699E-1,-1.412777115E1,1.251098328E0,1.419661099E1
1.989107708E0,6.099815369E-1,-1.381207764E1,1.203946381E0,1.387786198E1
1.999050708E0,5.968089294E-1,-1.346869171E1,1.172062683E0,1.353275908E1
2.008994708E0,5.999523926E-1,-1.313623306E1,1.137783966E0,1.319905733E1
2.018937708E0,5.786965942E-1,-1.281604889E1,1.080602875E0,1.287453694E1
2.028880708E0,5.704637146E-1,-1.241922409E1,1.036893768E0,1.247548414E1
2.038824708E0,5.774990845E-1,-1.199395844E1,9.725276184E-1,1.204717204E1
2.048767708E0,5.541476440E-1,-1.152094208E1,9.237290955E-1,1.157119101E1
